landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
655.4;1.607;-0.01179;-0.00995;-0.00876;-0.00772;-0.00687;-0.00606;-0.00545;-0.00477;-0.00376;-0.00282;-0.00205;-0.00141;-0.00099;-0.00084;-0.00061;-0.00041;-0.00037;-0.00035;-0.00027;-0.00019;-0.00016;-0.00014;-0.00016;0;0.00001;0;0.00005;0.00011;0.0001;0.00004;-0.00006;-0.00018;-0.00027;-0.00042;-0.0006;-0.00064
660;1.6035;-0.01179;-0.00996;-0.00878;-0.00775;-0.00687;-0.00612;-0.00548;-0.00486;-0.00384;-0.00291;-0.00208;-0.00148;-0.00102;-0.0009;-0.00067;-0.00049;-0.00037;-0.00038;-0.00037;-0.00028;-0.00019;-0.00019;-0.00023;-0.00007;-0.00005;0;0.00006;0.00005;0.0001;0.00005;-0.00007;-0.00017;-0.00029;-0.00043;-0.00066;-0.00064
664.6;1.6032;-0.01186;-0.01001;-0.00884;-0.00779;-0.00698;-0.00619;-0.00556;-0.00492;-0.00388;-0.00297;-0.00219;-0.00152;-0.00113;-0.00095;-0.00069;-0.00053;-0.00041;-0.00043;-0.00036;-0.0003;-0.00021;-0.00016;-0.00022;-0.00005;-0.00002;0;0.00007;0.00009;0.00012;0.00003;-0.00006;-0.00014;-0.00023;-0.00042;-0.0006;-0.00057
669;1.605;-0.01183;-0.00995;-0.00877;-0.00775;-0.00692;-0.00617;-0.00551;-0.00492;-0.00393;-0.00296;-0.00222;-0.00159;-0.0012;-0.00096;-0.00075;-0.00055;-0.00052;-0.00047;-0.00041;-0.00038;-0.00027;-0.00029;-0.00026;-0.00014;-0.00012;0;-0.00002;0.00004;0.00006;0.00002;-0.0001;-0.00024;-0.00028;-0.00045;-0.00065;-0.00055
673.2;1.6058;-0.0117;-0.00984;-0.00864;-0.00766;-0.00684;-0.00612;-0.00551;-0.0049;-0.00389;-0.00299;-0.00224;-0.00161;-0.00121;-0.00102;-0.00071;-0.00056;-0.00052;-0.00049;-0.00038;-0.00036;-0.00034;-0.00025;-0.00025;-0.00011;-0.00009;0;0.00003;0.00002;0.00003;0;-0.00011;-0.00023;-0.00034;-0.0005;-0.00071;-0.00082
678;1.603;-0.01161;-0.00971;-0.00854;-0.00759;-0.00677;-0.00606;-0.00542;-0.00478;-0.00386;-0.00292;-0.00221;-0.00165;-0.00123;-0.00104;-0.00074;-0.00055;-0.00042;-0.00046;-0.00036;-0.00038;-0.00035;-0.00024;-0.00025;-0.00011;-0.00008;0;0.00001;0.00003;0.00004;0.00001;-0.00016;-0.00022;-0.00033;-0.00051;-0.00077;-0.00079
682;1.5937;-0.01148;-0.00957;-0.00839;-0.00743;-0.0066;-0.00592;-0.0053;-0.00475;-0.00375;-0.00294;-0.00225;-0.00175;-0.00119;-0.00099;-0.00076;-0.00051;-0.0004;-0.00044;-0.00035;-0.00036;-0.00032;-0.00023;-0.00021;-0.0001;-0.00014;0;-0.00007;0.00002;0.00001;-0.00005;-0.00023;-0.00034;-0.00047;-0.00061;-0.00081;-0.00099
686.4;1.5758;-0.01113;-0.00922;-0.00808;-0.00712;-0.00635;-0.00567;-0.00509;-0.00448;-0.00358;-0.00276;-0.00209;-0.00165;-0.00107;-0.00094;-0.00066;-0.00054;-0.00041;-0.00041;-0.00027;-0.00032;-0.00034;-0.00021;-0.0002;-0.00016;-0.00016;0;-0.00005;-0.00003;-0.00008;-0.00014;-0.00033;-0.00041;-0.00051;-0.00075;-0.00092;-0.00095
690.5;1.5477;-0.01067;-0.0087;-0.00763;-0.00668;-0.00597;-0.00528;-0.0047;-0.00417;-0.00333;-0.00241;-0.00184;-0.00132;-0.00086;-0.00079;-0.00055;-0.00037;-0.00022;-0.00018;-0.00017;-0.00029;-0.00026;-0.00019;-0.00012;-0.00012;-0.00018;0;-0.00018;-0.00003;-0.00013;-0.00012;-0.00039;-0.00048;-0.0006;-0.00085;-0.00108;-0.00107
694.7;1.5073;-0.01009;-0.00819;-0.00718;-0.00625;-0.00555;-0.00494;-0.0044;-0.00393;-0.00306;-0.00227;-0.00172;-0.00115;-0.0007;-0.00058;-0.00039;-0.00032;-0.0001;-0.0001;-0.00009;-0.0002;-0.00019;-0.00016;-0.00018;-0.0001;-0.00022;0;-0.00013;-0.00009;-0.00011;-0.00018;-0.00051;-0.00054;-0.00067;-0.00097;-0.00119;-0.00107
698.8;1.4525;-0.00963;-0.00776;-0.00672;-0.0059;-0.00517;-0.0046;-0.00403;-0.00359;-0.00283;-0.00202;-0.0015;-0.00109;-0.00062;-0.00051;-0.00025;-0.00017;0.00003;-0.00006;0.00003;-0.00016;-0.00015;-0.0001;-0.00013;-0.00014;-0.0002;0;-0.00017;-0.0001;-0.00015;-0.00025;-0.00062;-0.00055;-0.00084;-0.00106;-0.00129;-0.00124
702.6;1.3803;-0.00906;-0.00725;-0.00626;-0.00542;-0.00477;-0.00418;-0.0037;-0.00323;-0.00255;-0.0018;-0.00129;-0.00093;-0.00036;-0.00047;-0.00017;-0.00006;0.00012;0.00009;0.00004;0;-0.00013;-0.00002;-0.00005;-0.0001;-0.00021;0;-0.00014;-0.00009;-0.0002;-0.00023;-0.0007;-0.00063;-0.0008;-0.00101;-0.00135;-0.00131
707;1.2863;-0.00883;-0.007;-0.00604;-0.00518;-0.00458;-0.00394;-0.00356;-0.00318;-0.0024;-0.00164;-0.00124;-0.00085;-0.00029;-0.00046;-0.00013;-0.00002;0.0002;0.00013;0.00014;0.00003;-0.00013;-0.00008;-0.00013;-0.0001;-0.0002;0;-0.00023;-0.00018;-0.00025;-0.00029;-0.00074;-0.0007;-0.00098;-0.00122;-0.00147;-0.0014
711;1.1675;-0.0083;-0.00655;-0.00558;-0.00483;-0.00423;-0.00365;-0.00329;-0.00289;-0.00209;-0.00146;-0.00106;-0.00065;-0.00011;-0.00024;-0.00008;0;0.00035;0.00017;0.00022;0.0001;0;-0.00002;-0.00009;-0.00007;-0.00023;0;-0.00028;-0.00012;-0.00027;-0.0003;-0.00087;-0.00069;-0.001;-0.00129;-0.0014;-0.00155
715;1.0203;-0.00791;-0.00618;-0.00525;-0.00451;-0.0039;-0.00342;-0.00294;-0.00268;-0.00199;-0.00117;-0.00084;-0.00044;-0.00001;-0.0001;0.00007;0.00028;0.00061;0.00036;0.00033;0.00022;0.00004;0.00013;0.00008;0.00005;-0.00017;0;-0.00015;-0.00008;-0.00019;-0.00027;-0.00092;-0.00073;-0.00096;-0.00121;-0.00136;-0.00144
